sessiondatetime,sessionId,userCountry,sourcetype,action_shopHomePageVisit,action_productPageVisit,action_addToCartVisit,action_purchaseVisit
20191020T100521,7.92833E+28,Germany,direct,0,1,0,0
20191020T112144,8.1096E+28,Germany,affiliate,0,1,1,0
20191020T202116,9.02106E+28,Germany,orgsearch,0,1,0,0
20191020T095438,7.54983E+28,Germany,direct,0,1,1,0
20191020T125946,7.64628E+28,Germany,orgsearch,0,1,0,0
20191020T153217,3.54397E+28,Germany,paysearch,0,1,0,0
20191020T164357,7.85271E+28,Germany,orgsearch,0,1,0,0
20191020T151219,5.35267E+28,Germany,paysearch,0,1,0,0
20191020T152215,3.01489E+28,Germany,orgsearch,0,1,0,0
20191020T103109,4.30757E+28,Germany,paysearch,0,1,1,1
20191020T124351,5.58189E+28,Germany,orgsearch,0,1,0,0
20191020T110153,8.56656E+28,Germany,paysearch,0,1,0,0
20191020T123958,4.53728E+28,Germany,orgsearch,0,1,1,1
20191020T185424,7.39109E+28,Germany,paysearch,0,1,1,1
20191020T114339,3.75889E+28,Germany,paysearch,0,1,0,0
20191020T094650,5.67267E+28,Germany,paysearch,0,1,0,0
20191020T062303,6.66623E+28,Germany,orgsearch,0,1,0,0
20191020T092509,7.24033E+26,Germany,direct,0,1,0,0
20191020T093128,3.49962E+28,Germany,paysearch,0,1,0,0
20191020T135745,2.97076E+28,Germany,direct,0,1,0,0
20191020T141520,5.08653E+28,Germany,direct,0,1,0,0
20191020T130828,6.34432E+28,United States,orgsearch,0,1,1,1
20191020T173045,2.60886E+28,Germany,orgsearch,0,1,0,0
20191020T103219,2.75223E+28,Germany,orgsearch,0,1,1,0
20191020T135140,2.93613E+28,Germany,orgsearch,0,1,1,0
20191020T180822,3.56089E+28,Germany,direct,0,1,1,1
20191020T125957,1.30489E+28,Germany,orgsearch,0,1,0,0
20191020T130459,8.75053E+28,Germany,orgsearch,0,1,0,1
20191020T211141,6.66874E+28,Germany,orgsearch,0,1,1,0
20191020T112124,2.21523E+28,Germany,affiliate,0,1,0,0
20191020T185046,1.49967E+28,Germany,affiliate,0,1,1,0
20191020T111651,5.98383E+27,Germany,paysearch,0,1,0,0
20191020T130955,4.98937E+28,Germany,paysearch,0,1,1,0
20191020T073036,2.64323E+28,Germany,paysearch,0,1,1,0
20191020T191021,5.93137E+28,Germany,paysearch,0,1,0,0
20191020T172458,3.04706E+28,Germany,orgsearch,0,1,0,0
20191020T164042,6.29074E+28,Germany,orgsearch,0,1,0,0
20191020T114727,3.83398E+28,Germany,direct,0,1,0,0
20191020T070448,7.95945E+28,Germany,paysearch,0,1,0,0
20191020T080412,9.01903E+28,Germany,orgsearch,0,1,1,1
20191020T080526,4.39561E+28,Bulgaria,direct,0,1,0,0
20191020T064641,2.54278E+28,Germany,direct,0,1,1,1
20191020T090439,2.82072E+28,Germany,direct,0,1,0,0
20191020T173451,3.49584E+28,Germany,orgsearch,0,1,1,1
20191020T211455,4.14936E+28,Germany,orgsearch,0,1,0,0
20191020T145506,7.21376E+27,Germany,paysearch,0,1,0,0
20191020T162827,5.28335E+28,Germany,orgsearch,0,1,0,1
20191020T123332,4.47988E+28,Germany,paysearch,0,1,1,0
20191020T095201,1.04578E+27,Germany,paysearch,0,1,0,0
